2022-12-31 18:47:59.693861,2,0,0,0,lmTst_9.jpg recovered
2022-12-31 18:49:08.856678,0,0,0,0,lmTst_0.jpg recovered
2022-12-31 18:49:09.376379,2,0,0,0,lmTst_1.jpg recovered
2022-12-31 18:49:09.923068,0,0,0,0,lmTst_2.jpg recovered
2022-12-31 18:49:10.475752,2,0,0,0,lmTst_3.jpg recovered
2022-12-31 18:49:11.098396,2,0,0,0,lmTst_4.jpg recovered
2022-12-31 18:49:11.676066,2,0,0,0,lmTst_5.jpg recovered
2022-12-31 18:49:12.231750,2,0,0,0,lmTst_6.jpg recovered
2022-12-31 18:49:12.831406,0,0,0,0,lmTst_7.jpg recovered
2022-12-31 18:49:13.340116,0,0,0,0,lmTst_8.jpg recovered
2022-12-31 18:49:13.944773,2,0,0,0,lmTst_9.jpg recovered
